Metric,Period,n,residual_sd,r_squared
IS,PRE,93,0.15395336942445045,0.1418586405161647
IS,POST,94,0.15445313778950218,0.13607550178626038
IV,PRE,93,0.2905567544770081,0.10052964281824439
IV,POST,94,0.2867269340853552,0.10572790572382784
RA,PRE,93,0.23716742282889164,0.15362000769777417
RA,POST,94,0.20954182938852428,0.2174964357752155
Amplitude,PRE,93,1.3080524423594853,0.17763388944697345
Amplitude,POST,94,1.3728080947625425,0.17746804558505425
