"ID","Sex","Age.at.Start..Month.","Age.Group","Light.Group","PRE.POST","Amplitude","Period","Phase","Mean","X..Variance","MESOR","F","p","RA","IV","IS","Group","Group_Age_Light","Group_Age_Sex","Age_new","Group_Sex_Light","Sex_new","Light_new"
"68","M  ","10","Middle-age","CNT","PRE",4,24,91.25,2.252,11.743,2.252,905.177,0,0.799,1.183,0.612,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"69","M  ","10","Middle-age","ISF","POST",4.031,24,79.25,3.201,14.692,3.201,1100.475,0,0.555,0.849,0.616,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"69","M  ","10","Middle-age","ISF","PRE",3.822,24,93.75,2.429,15.123,2.429,1149.013,0,0.747,0.828,0.563,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"70","F  ","10","Middle-age","CNT","POST",6.968,24,89,4.46,18.843,4.46,1611.044,0,0.772,0.803,0.641,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"70","F  ","10","Middle-age","CNT","PRE",4.483,24,86.5,2.754,7.796,2.754,791.295,0,0.76,0.944,0.371,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"71","F  ","10","Middle-age","ISF","POST",4.162,24,76,4.04,14.95,4.04,1133.749,0,0.535,0.736,0.48,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"71","F  ","10","Middle-age","ISF","PRE",4.634,24,86.75,3.292,18.78,3.292,1582.386,0,0.685,0.879,0.57,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"72","F  ","23","Old-age","ISF","POST",2.809,24,80.75,1.674,14.747,1.674,1118.026,0,0.699,0.986,0.558,"Old_Female_ISF","Old_ISF","Old_Female","Old","Female_ISF","Female","ISF"
"72","F  ","23","Old-age","ISF","PRE",2.465,24,97.5,1.492,10.777,1.492,883.632,0,0.812,1.151,0.49,"Old_Female_ISF","Old_ISF","Old_Female","Old","Female_ISF","Female","ISF"
"73","F  ","23","Old-age","ISF","POST",2.033,24,60.5,4.374,2.824,4.374,213.185,0,0.263,1.653,0.283,"Old_Female_ISF","Old_ISF","Old_Female","Old","Female_ISF","Female","ISF"
"73","F  ","23","Old-age","ISF","PRE",0.501,24,311,3.412,0.115,3.412,13.435,0,0.391,1.556,0.263,"Old_Female_ISF","Old_ISF","Old_Female","Old","Female_ISF","Female","ISF"
"74","F  ","23","Old-age","ISF","POST",2.322,24,92.75,1.606,7.48,1.606,754.743,0,0.663,1.121,0.544,"Old_Female_ISF","Old_ISF","Old_Female","Old","Female_ISF","Female","ISF"
"74","F  ","23","Old-age","ISF","PRE",3.41,24,80.5,1.87,16.962,1.87,1401.718,0,0.783,1.034,0.637,"Old_Female_ISF","Old_ISF","Old_Female","Old","Female_ISF","Female","ISF"
"75","F  ","23","Old-age","CNT","POST",3.668,24,70.75,2.544,12.972,2.544,1108.159,0,0.61,1.254,0.552,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"75","F  ","23","Old-age","CNT","PRE",2.794,24,80.5,3.478,6.393,3.478,541.976,0,0.426,1.343,0.332,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"76","F  ","23","Old-age","CNT","POST",3.298,24,79.5,1.903,17.815,1.903,1479.763,0,0.751,0.738,0.62,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"76","F  ","23","Old-age","CNT","PRE",2.505,24,98.75,1.736,11.815,1.736,850.296,0,0.722,1.006,0.465,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"77","F  ","25","Old-age","CNT","POST",2.52,24,123.75,2.97,5.918,2.97,508.836,0,0.478,1.181,0.616,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"77","F  ","25","Old-age","CNT","PRE",3.647,24,98.75,3.346,11.398,3.346,1034.327,0,0.518,1.189,0.638,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"78","F  ","23","Old-age","CNT","POST",5.506,24,79.75,4.284,12.095,4.284,985.551,0,0.642,1.061,0.658,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"78","F  ","23","Old-age","CNT","PRE",4.225,24,85,2.854,10.718,2.854,724.421,0,0.68,0.95,0.499,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"79","F  ","23","Old-age","CNT","POST",3.533,24,96,2.636,6.567,2.636,541.095,0,0.737,1.238,0.612,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"79","F  ","23","Old-age","CNT","PRE",5.558,24,95.5,3.235,13.039,3.235,1057.178,0,0.759,0.705,0.409,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"80","M  ","11","Middle-age","CNT","POST",3.602,24,94.5,2.785,14.747,2.785,1151.263,0,0.594,0.969,0.638,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"80","M  ","11","Middle-age","CNT","PRE",3.894,24,74.75,2.214,18.172,2.214,1505.764,0,0.808,0.818,0.717,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"81","M  ","11","Middle-age","ISF","POST",4.166,24,96.75,2.747,9.689,2.747,799.384,0,0.768,1.068,0.617,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"81","M  ","11","Middle-age","ISF","PRE",3.77,24,85,2.438,7.75,2.438,652.341,0,0.822,1.115,0.597,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"82","F  ","10","Middle-age","ISF","POST",4.305,24,91.25,2.398,18.748,2.398,1572.017,0,0.793,0.872,0.646,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"82","F  ","10","Middle-age","ISF","PRE",4.326,24,70.5,3.229,18.826,3.229,1478.59,0,0.605,0.843,0.553,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"83","F  ","24","Old-age","CNT","POST",3.473,24,66.25,5.796,8.878,5.796,629.39,0,0.277,1.068,0.517,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"83","F  ","24","Old-age","CNT","PRE",4.794,24,94,4.352,15.019,4.352,1184.163,0,0.569,1.067,0.536,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"84","F  ","22","Old-age","CNT","POST",3.564,24,91.75,3.341,9.284,3.341,602.175,0,0.466,0.878,0.388,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"84","F  ","22","Old-age","CNT","PRE",3.945,24,95.25,3.502,8.797,3.502,722.709,0,0.542,1.413,0.46,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"86","F  ","13","Middle-age","CNT","POST",7.107,24,87,4.229,19.281,4.229,1661.791,0,0.8,0.788,0.688,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"86","F  ","13","Middle-age","CNT","PRE",6.706,24,105.5,3.858,19.098,3.858,1529.255,0,0.873,0.943,0.586,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"87","F  ","12","Middle-age","CNT","POST",4.043,24,94.5,3.483,13.397,3.483,938.511,0,0.531,1.05,0.501,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"87","F  ","12","Middle-age","CNT","PRE",4.335,24,90.75,5.15,11.348,5.15,1046.015,0,0.421,1.051,0.482,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"88","F  ","12","Middle-age","ISF","POST",2.889,24,84,1.817,14.339,1.817,1018.372,0,0.672,0.905,0.569,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"88","F  ","12","Middle-age","ISF","PRE",3.581,24,89.25,2.461,14.639,2.461,1083.5,0,0.739,1.336,0.568,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"89","F  ","5","Young","CNT","POST",5.158,24,72.75,3.684,17.231,3.684,1434.596,0,0.637,1.135,0.547,"Young_Female_CTR","Young_CTR","Young_Female","Young","Female_CTR","Female","CTR"
"89","F  ","5","Young","CNT","PRE",3.798,24,72,2.61,12.398,2.61,974.078,0,0.854,1.152,0.545,"Young_Female_CTR","Young_CTR","Young_Female","Young","Female_CTR","Female","CTR"
"90","F  ","5","Young","CNT","POST",2.967,24,81,1.5,15.707,1.5,1244.036,0,0.902,1.3,0.554,"Young_Female_CTR","Young_CTR","Young_Female","Young","Female_CTR","Female","CTR"
"90","F  ","5","Young","CNT","PRE",5.019,24,79.75,3.26,17.088,3.26,1344.569,0,0.797,1.342,0.575,"Young_Female_CTR","Young_CTR","Young_Female","Young","Female_CTR","Female","CTR"
"91","F","6","Young","CNT","POST",3.072,24,76,2.89,8.617,2.89,607.494,0,0.52,1.194,0.423,"Young_Female_CTR","Young_CTR","Young_Female","Young","Female_CTR","Female","CTR"
"91","F","6","Young","CNT","PRE",2.359,24,63.25,1.396,5.438,1.396,393.796,0,0.838,1.766,0.477,"Young_Female_CTR","Young_CTR","Young_Female","Young","Female_CTR","Female","CTR"
"92","M  ","6","Young","ISF","POST",4.282,24,59.5,4.614,12.275,4.614,1046.451,0,0.447,0.961,0.626,"Young_Male_ISF","Young_ISF","Young_Male","Young","Male_ISF","Male","ISF"
"92","M  ","6","Young","ISF","PRE",3.146,24,60.75,2.528,6.352,2.528,523.18,0,0.699,1.426,0.752,"Young_Male_ISF","Young_ISF","Young_Male","Young","Male_ISF","Male","ISF"
"93","M  ","6","Young","ISF","POST",4.121,24,80.75,2.743,9.104,2.743,745.77,0,0.817,1.727,0.683,"Young_Male_ISF","Young_ISF","Young_Male","Young","Male_ISF","Male","ISF"
"93","M  ","6","Young","ISF","PRE",2.204,24,58.5,1.267,9.439,1.267,791.697,0,0.889,1.646,0.565,"Young_Male_ISF","Young_ISF","Young_Male","Young","Male_ISF","Male","ISF"
"94","M  ","6","Young","CNT","POST",3.515,24,90.25,2.364,7.322,2.364,576.418,0,0.807,1.285,0.669,"Young_Male_CTR","Young_CTR","Young_Male","Young","Male_CTR","Male","CTR"
"94","M  ","6","Young","CNT","PRE",3.822,24,66,2.733,12.19,2.733,963.656,0,0.685,1.062,0.653,"Young_Male_CTR","Young_CTR","Young_Male","Young","Male_CTR","Male","CTR"
"95","F","23","Old-age","CNT","POST",1.925,24,70.5,1.377,7.703,1.377,507.073,0,0.761,1.011,0.657,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"95","F","23","Old-age","CNT","PRE",1.378,24,80.75,1.486,3.724,1.486,285.944,0,0.509,1.071,0.444,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"96","F","22","Old-age","ISF","POST",3.414,24,69.25,1.985,15.393,1.985,1240.943,0,0.738,0.653,0.444,"Old_Female_ISF","Old_ISF","Old_Female","Old","Female_ISF","Female","ISF"
"96","F","22","Old-age","ISF","PRE",3.069,24,74,1.75,15.55,1.75,1152.331,0,0.772,0.941,0.473,"Old_Female_ISF","Old_ISF","Old_Female","Old","Female_ISF","Female","ISF"
"97","F","5","Young","ISF","POST",4.233,24,74,1.958,20.688,1.958,1747.539,0,0.835,0.994,0.592,"Young_Female_ISF","Young_ISF","Young_Female","Young","Female_ISF","Female","ISF"
"97","F","5","Young","ISF","PRE",5.195,24,59,2.85,24.641,2.85,2436.637,0,0.734,0.861,0.739,"Young_Female_ISF","Young_ISF","Young_Female","Young","Female_ISF","Female","ISF"
"98","F","5","Young","ISF","POST",5.764,24,79,2.95,19.303,2.95,1719.327,0,0.817,0.967,0.668,"Young_Female_ISF","Young_ISF","Young_Female","Young","Female_ISF","Female","ISF"
"98","F","5","Young","ISF","PRE",7.053,24,73.25,3.24,24.942,3.24,2194.036,0,0.902,0.861,0.663,"Young_Female_ISF","Young_ISF","Young_Female","Young","Female_ISF","Female","ISF"
"99","M  ","4","Young","ISF","POST",2.816,24,64,1.761,9.788,1.761,798.918,0,0.775,1.618,0.606,"Young_Male_ISF","Young_ISF","Young_Male","Young","Male_ISF","Male","ISF"
"99","M  ","4","Young","ISF","PRE",3.963,24,53.25,2.032,19.819,2.032,1727.605,0,0.883,0.912,0.772,"Young_Male_ISF","Young_ISF","Young_Male","Young","Male_ISF","Male","ISF"
"100","M  ","5","Young","CNT","POST",3.113,24,83.25,2.367,11.388,2.367,855.715,0,0.628,1.239,0.652,"Young_Male_CTR","Young_CTR","Young_Male","Young","Male_CTR","Male","CTR"
"100","M  ","5","Young","CNT","PRE",3.963,24,53.25,2.032,19.819,2.032,1727.605,0,0.883,0.912,0.772,"Young_Male_CTR","Young_CTR","Young_Male","Young","Male_CTR","Male","CTR"
