"ID","Sex","Age.at.Start..Month.","Age.Group","Light.Group","PRE.POST","Amplitude","Period","Phase","Mean","X..Variance","MESOR","F","p","RA","IV","IS","Group","Group_Age_Light","Group_Age_Sex","Age_new","Group_Sex_Light","Sex_new","Light_new"
"17","M  ","24","Old-age","ISF","PRE",2.781,24,41,3.099,9.281,3.099,366.713,0,0.453,1.271,0.671,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"18","M  ","24","Old-age","ISF","POST",1.06,24,183,18.193,1.962,18.193,142.634,0,0.032,1.78,0.216,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"18","M  ","24","Old-age","ISF","PRE",2.217,24,245.75,17.402,3.603,17.402,185.59,0,0.078,1.03,0.378,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"19","M  ","25","Old-age","ISF","POST",4.683,24,38.75,3.463,15.434,3.463,1241.244,0,0.624,1.022,0.621,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"19","M  ","25","Old-age","ISF","PRE",3.653,24,1.5,2.418,9.132,2.418,345.546,0,0.818,1.277,0.697,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"20","M  ","25","Old-age","CNT","POST",5.366,24,20.75,3.703,20.405,3.703,1757.184,0,0.65,0.875,0.673,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"20","M  ","25","Old-age","CNT","PRE",5.107,24,32,3.693,16.709,3.693,829.187,0,0.64,0.867,0.817,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"21","M  ","25","Old-age","CNT","POST",2.229,24,13.75,2.183,7.78,2.183,624.407,0,0.478,1.226,0.496,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"21","M  ","25","Old-age","CNT","PRE",3.084,24,13.5,2.641,11.721,2.641,472.25,0,0.582,1.137,0.586,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"22","M  ","25","Old-age","ISF","POST",1.007,24,187.25,16.241,2.862,16.241,198.704,0,0.027,1.376,0.358,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"22","M  ","25","Old-age","ISF","PRE",0.711,24,199.75,16.049,1.206,16.049,36.487,0,0.028,1.311,0.364,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"23","M  ","11","Middle-age","ISF","POST",2.802,24,30.25,1.891,10.578,1.891,862.312,0,0.754,1.038,0.721,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"23","M  ","11","Middle-age","ISF","PRE",2.432,24,22.25,1.61,7.447,1.61,335.255,0,0.851,0.93,0.663,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"24","M  ","25","Old-age","CNT","POST",0.149,24,123.75,15.145,0.051,15.145,2.907,0.053,0.014,1.515,0.071,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"24","M  ","25","Old-age","CNT","PRE",0.555,24,148.75,14.847,0.482,14.847,13.789,0,0.032,2.106,0.391,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"25","M  ","11","Middle-age","ISF","POST",4.515,24,27.5,3.471,13.481,3.471,1106.82,0,0.649,1.065,0.661,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"25","M  ","11","Middle-age","ISF","PRE",4.967,24,37.5,3.687,13.838,3.687,587.571,0,0.785,1.132,0.753,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"26","M  ","25","Old-age","ISF","POST",0.374,24,64.75,15.131,0.141,15.131,7.492,0.001,0.022,1.686,0.119,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"26","M  ","25","Old-age","ISF","PRE",0.641,24,68.5,14.876,0.135,14.876,7.738,0.001,0.03,1.568,0.13,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
