model,n_orig,beta_orig,p_orig,n_norm,beta_norm,p_norm,same_direction,both_ns,conclusion_changed
Circadian LME: IS,94,0.00157394454235718,0.957551832613853,72,0.04375579924026911,0.317857107199623,True,True,False
Circadian LME: IV,94,0.07871447701092263,0.19610663040787035,72,0.05103077125207277,0.530409241341625,True,True,False
Circadian LME: RA,94,-0.01697943273784115,0.612134186672814,72,4.946006506096423,0.08045837819569773,False,True,False
Circadian LME: Amplitude,94,0.1677140895357612,0.4631481579318881,72,0.028687884506379838,0.5578516487045755,True,True,False
Barnes T6 probe accuracy (OLS),86,-0.008678491501567477,0.7342190897004488,63,0.007302176520398911,0.8316538241805533,False,True,False
NOR DI (OLS),76,-0.05164536398269255,0.39432716549793934,60,-0.1056685247073451,0.14351442711590126,True,True,False
