Outcome,Term,beta,p,p_fdr
probe_accuracy,Age[Old],-0.06400141128328378,0.053726008295170415,0.36553092365563566
probe_accuracy,Age[Young],0.13672562445008266,0.09399366608287774,0.36553092365563566
probe_accuracy,Sex[Male],-0.0028203471035575384,0.9368022029810212,0.9894221686199842
probe_accuracy,Age[Old]:Sex[Male],0.044001557989450435,0.41796969963356256,0.87993272436678
probe_accuracy,Age[Young]:Sex[Male],0.005029213543601169,0.9611529638022703,0.9894221686199842
Hole_errors,Age[Old],-2.144736842105264,0.4976944687368985,0.87993272436678
Hole_errors,Age[Young],-2.294736842105267,0.672954905442298,0.87993272436678
Hole_errors,Sex[Male],1.377990430622013,0.6946956948683987,0.87993272436678
Hole_errors,Age[Old]:Sex[Male],-6.6734449760765635,0.1138742313275252,0.3985598096463382
Hole_errors,Age[Young]:Sex[Male],1.0220095693779971,0.8958062545315324,0.9797880908938635
EntryZone_freq_new,Age[Old],-1.559210526315789,0.07349346089518563,0.36553092365563566
EntryZone_freq_new,Age[Young],2.7157894736842128,0.08904027772438354,0.36553092365563566
EntryZone_freq_new,Sex[Male],0.5430622009569378,0.5663978891394708,0.87993272436678
EntryZone_freq_new,Age[Old]:Sex[Male],-0.25897129186602946,0.846564724949353,0.9650766702540654
EntryZone_freq_new,Age[Young]:Sex[Male],0.45693779904306453,0.8325765384485748,0.9650766702540654
DistanceMoved_cm,Age[Old],53.74950657894725,0.6450659829836349,0.87993272436678
DistanceMoved_cm,Age[Young],365.9106315789473,0.029598178581841772,0.2589840625911155
DistanceMoved_cm,Sex[Male],37.704631578947534,0.7039461794934241,0.87993272436678
DistanceMoved_cm,Age[Old]:Sex[Male],-632.0213247607658,0.00016994285121299624,0.0036450939405934094
DistanceMoved_cm,Age[Young]:Sex[Male],-133.00863157894713,0.6022749840324442,0.87993272436678
Entry_latency_new,Age[Old],-3.4472936973684227,0.6191851923341765,0.87993272436678
Entry_latency_new,Age[Young],12.571370052631593,0.5998046548646065,0.87993272436678
Entry_latency_new,Sex[Male],1.5223718253588627,0.8547821936536008,0.9650766702540654
Entry_latency_new,Age[Old]:Sex[Male],11.060225106459328,0.3852034222871583,0.87993272436678
Entry_latency_new,Age[Young]:Sex[Male],-29.862371825358867,0.2292442924172261,0.7107229837256289
Q4,Age[Old],-4.653242434210522,0.24759357414632055,0.7107229837256289
Q4,Age[Young],-2.35207368421053,0.5848271662249735,0.87993272436678
Q4,Sex[Male],1.8440581339712931,0.5826235432225408,0.87993272436678
Q4,Age[Old]:Sex[Male],2.6141424342105166,0.6246179387427475,0.87993272436678
Q4,Age[Young]:Sex[Male],7.693941866028729,0.26398282252666216,0.7107229837256289
Q1,Age[Old],13.290493815789466,0.00020829108231962338,0.0036450939405934094
Q1,Age[Young],-0.0004936842105388948,0.9998676426682177,0.9998676426682177
Q1,Sex[Male],5.2037372248803875,0.06581859051502176,0.36553092365563566
Q1,Age[Old]:Sex[Male],-15.84614790669857,0.0011705185711447569,0.01365604999668883
Q1,Age[Young]:Sex[Male],-5.767737224880386,0.30136357679343373,0.7534089419835843
