ID,PRE_POST,Mean,Variance,MESOR,Amplitude,Phase,Period,F,p,IS,IV,RA,source,sensor_flag,pct_zero,longest_zero_run_hours
1,PRE,3.5600980392156862,4.567427012027691,3.573545081884134,1.3429455978132523,338.3561871932941,24.0,20.82660146938485,8.41072019951774e-09,0.4007475291311471,1.20367861237247,0.36578798185941014,#01 IR.csv,False,1.76,1.0
1,POST,5.054842161583735,6.776395326065202,5.053292570135024,1.4549058963758694,341.57079516952274,24.0,57.50164663710311,1.235223071076011e-23,0.246850849147256,1.2917754533283758,0.27036488674258674,#01 IR.csv,False,5.14,4.0
2,PRE,2.026764705882353,5.200688024519474,2.0364448472641445,1.2952710099719056,357.6541259229169,24.0,16.13070135879306,3.935405967244146e-07,0.5381707918346078,1.1715196483622132,0.6901924839596709,#02 IR.csv,False,17.65,2.0
2,POST,1.83900481540931,4.0162235882225765,1.837677267043565,1.1702388865047988,344.97084171192336,24.0,63.83846061976055,6.167247575612395e-26,0.4239071116375614,1.336365046854636,0.6424141953705409,#02 IR.csv,False,9.47,5.0
3,PRE,9.122189349112425,56.066712043298594,9.119522811809365,0.6590062365796322,73.1432538346569,24.0,0.324499029671614,0.7233469162116672,0.015456743493741277,0.09197780784779969,0.07997750428334202,#03 IR.csv,True,38.46,64.0
3,POST,15.884496800465385,3.6361068413358995,15.884412925411688,0.09695466776167021,294.73398137806305,24.0,0.3711819235689583,0.6900850549686675,0.026387363043004423,0.4475813136144116,0.012652835952832906,#03 IR.csv,True,1.05,6.0
4,PRE,3.7782485875706215,3.657212003509673,3.783760624775888,1.330042014689557,324.0515273470194,24.0,27.4051424111908,4.50207236234201e-11,0.48195060264379985,1.135032274905473,0.37080311576685376,#04 IR.csv,False,0.0,0.0
4,POST,3.478128286014721,3.4710111304361306,3.471045161241392,1.073225978043628,348.06802272836086,24.0,62.79016733277556,1.3505011579833282e-25,0.2478462872171963,0.8113813846191668,0.28840360000767606,#04 IR.csv,False,3.31,5.0
5,PRE,2.1248015873015875,4.768875542565661,2.1248015873015875,1.150945254197352,346.52121369188654,24.0,13.39892292614205,4.0533870223374365e-06,0.47742376294382444,1.429236287644106,0.6054473717703963,#05 IR.csv,False,10.71,2.0
5,POST,2.8677083333333333,4.840279366194043,2.8677083333333315,1.6147006167171094,339.48623489756653,24.0,114.70360919345863,4.0343877853952545e-43,0.4348243263976894,1.15007116342144,0.5615463497201597,#05 IR.csv,False,5.29,5.0
