ID,learning_slope,r,p,Age_new,Sex_new,Light_new
1,0.011796536796536791,0.19103472257883639,0.7582546776070527,Old,Male,CTR
2,0.027515151515151517,0.29266383272925856,0.6327588017376858,Mid,Male,CTR
3,0.11583333333333334,0.6743248123295658,0.21186795517462614,Mid,Male,ISF
4,-0.065625,-0.574455467131842,0.31108119595485106,Old,Male,CTR
5,0.10176470588235294,0.44345474909942,0.4544699871224615,Mid,Male,ISF
6,-0.02011888111888111,-0.19920480776087576,0.74805217431461,Old,Male,ISF
7,0.008642481382797019,0.06736255090141328,0.9142962461814597,Old,Male,ISF
8,0.05441391941391941,0.6257674929527931,0.2588346701859528,Old,Male,CTR
9,0.028568291611769877,0.21710068859664494,0.7257658474671629,Old,Male,ISF
10,0.13650793650793652,0.6204011675531477,0.2641788168558471,Mid,Male,CTR
11,0.046690821256038656,0.6904822160148887,0.1968307171715666,Mid,Male,ISF
12,0.08614800759013283,0.48034785286602183,0.4128113076221006,Mid,Male,CTR
15,0.02320512820512821,0.19893136971354938,0.7483933584135474,Old,Male,ISF
16,-0.030947570332480818,-0.3264574100184553,0.5918473787177374,Old,Male,CTR
17,0.011621108774808953,0.11960336125240348,0.8480801227092861,Old,Male,ISF
18,-0.012934362934362943,-0.18401464017377003,0.7670343393003793,Old,Male,ISF
19,0.137468671679198,0.9866671967188362,0.00184435960433677,Old,Male,ISF
20,0.0502415458937198,0.4998409872108814,0.39117756493881467,Old,Male,CTR
21,-0.024045170397257506,-0.1868780405548831,0.7634517845379556,Old,Male,CTR
22,0.008364279398762154,0.14102261452120537,0.8210413668549609,Old,Male,ISF
23,0.15725,0.8854031615848275,0.04575969027457772,Mid,Male,ISF
24,-0.03555806938159879,-0.25495651409397213,0.678931274533851,Old,Male,CTR
25,0.03214285714285714,0.48603935133889103,0.4064667900131989,Mid,Male,ISF
26,0.05276190476190477,0.48579075260173915,0.40674343542388025,Old,Male,ISF
27,0.04799019607843137,0.33225471855753125,0.5848778657654208,Mid,Male,CTR
28,0.14200707338638374,0.9512779581226612,0.012815112522912349,Old,Male,ISF
29,0.19876293297345932,0.8455520246885798,0.0711509852258962,Old,Male,ISF
30,0.22716483516483518,0.8685916945161953,0.056042425023204494,Mid,Female,ISF
31,0.06397058823529411,0.6783023432710513,0.20813749347507987,Old,Male,CTR
32,0.07181134654818865,0.2959340494667697,0.6287794337111442,Mid,Male,CTR
33,0.026274509803921577,0.1174547885328187,0.8507964851987689,Old,Male,CTR
34,0.12722610722610722,0.8621063285244527,0.060180681147456304,Mid,Female,CTR
35,0.13690476190476192,0.7118575998382252,0.17742730764008907,Mid,Female,ISF
36,0.11991341991341992,0.532788864719796,0.3552541940148681,Mid,Female,CTR
37,0.05999999999999999,0.7071067811865476,0.1816901138162091,Mid,Female,CTR
39,0.03836996336996337,0.2698617660079805,0.6606185640055022,Mid,Female,ISF
40,0.18639751552795034,0.8012452249713872,0.1031380749349188,Old,Male,CTR
41,-0.050582750582750594,-0.4290238660080942,0.47100323127023286,Mid,Female,CTR
42,0.0,0.0,1.0,Mid,Female,CTR
43,-0.018285714285714277,-0.14224907451339508,0.8194955321225427,Mid,Male,ISF
44,-0.06896551724137931,-0.9760845356801585,0.02391546431984149,Mid,Male,CTR
45,0.029487179487179493,0.26850045229017494,0.6622878662703453,Mid,Female,ISF
46,0.02358974358974359,0.6094402371220157,0.2751841350714508,Mid,Female,ISF
47,0.03978919631093544,0.46394575450144,0.4312204521099173,Mid,Female,ISF
48,-0.018993506493506496,-0.09121471313994739,0.8840230690991042,Mid,Female,CTR
49,0.04880952380952382,0.8350288180571009,0.07841444740579417,Mid,Female,CTR
50,0.04469074986316366,0.5878722196214465,0.29717972939441967,Old,Female,ISF
51,0.1888888888888889,0.7269505780017944,0.16407989776106763,Old,Female,CTR
52,0.18527272727272726,0.7828013660672033,0.11747304363347551,Old,Female,ISF
53,0.003968253968253977,0.017060574305721332,0.9782788559394618,Mid,Female,CTR
54,-0.0498015873015873,-0.415735506004555,0.4863390077464811,Mid,Male,CTR
55,0.13999999999999999,0.8718105409450777,0.05402319020490579,Mid,Female,ISF
56,0.10024242424242424,0.44838369605770423,0.4488527580382933,Mid,Female,ISF
57,-0.027536231884057977,-0.535770077950949,0.35204557781637225,Mid,Male,ISF
58,0.012095875139353403,0.11666769625156458,0.8517917520579333,Mid,Male,CTR
60,0.023356009070294784,0.15493627568132437,0.8450637243186756,Old,Male,CTR
61,-0.0842857142857143,-0.8046119541492005,0.1005829169839701,Mid,Female,ISF
62,0.09841269841269842,0.5093358220123049,0.38074030416821353,Mid,Male,ISF
63,0.13644179894179895,0.9001482628020251,0.03730381766484241,Old,Female,CTR
64,-0.08758169934640524,-0.5683176572185342,0.3174947160377716,Old,Female,ISF
65,0.021428571428571432,0.14779939172464399,0.8125033684883114,Mid,Male,ISF
66,-0.02817270448849396,-0.6578601048519942,0.22750342548558736,Mid,Male,CTR
67,0.11003987240829345,0.7966879840321497,0.10662750814430284,Old,Female,ISF
68,0.07380952380952381,0.5686398496414661,0.3171572221986758,Mid,Male,CTR
69,0.07924242424242425,0.43500820448010535,0.46413148261448217,Mid,Male,ISF
70,0.11288888888888891,0.4707321142815176,0.42358145524228147,Mid,Female,CTR
71,0.10593478770818672,0.9904566275730226,0.00954337242697745,Mid,Female,ISF
72,-0.013131313131313127,-0.04918459069881677,0.9374014924094567,Old,Female,ISF
73,0.008571428571428575,0.035340846761591826,0.9550120048814108,Old,Female,ISF
74,0.015162907268170428,0.05866472392142104,0.9253486197621567,Old,Female,ISF
75,-0.07416666666666667,-0.39832471358396593,0.5065873182546033,Old,Female,CTR
76,0.005555555555555553,0.05050762722761051,0.9357190441429089,Old,Female,CTR
77,-0.036153846153846154,-0.4462204065592131,0.45131623294876383,Old,Female,CTR
78,-0.0014379084967320321,-0.00894811228774783,0.9886070616246837,Old,Female,CTR
79,-0.14587719298245613,-0.6795314814138924,0.2069884564108658,Old,Female,CTR
80,0.0023809523809523838,0.009984038297885908,0.9872881388181975,Mid,Male,CTR
81,0.022857142857142854,0.20975303010651217,0.7349055985266182,Mid,Male,ISF
82,0.0,0.0,1.0,Mid,Female,ISF
89,0.04755434782608696,0.3248572181374293,0.5937737415270015,Young,Female,CTR
90,0.024275362318840577,0.2385279203956021,0.6992018051154365,Young,Female,CTR
91,0.04423076923076923,0.2976239912835352,0.62672467558684,Young,Female,CTR
92,-0.06231884057971014,-0.24306978544102134,0.7569302145589787,Young,Male,ISF
93,0.06842105263157894,0.4336665934719492,0.4656701369910988,Young,Male,ISF
94,0.01776470588235294,0.18313897335450902,0.7681303249999767,Young,Male,CTR
95,0.1005952380952381,0.9207699833898159,0.02645079043517485,Old,Female,CTR
96,0.003966346153846151,0.03445199893625456,0.9561430317551023,Old,Female,ISF
97,0.012727272727272738,0.14279437972381903,0.8188083156569563,Young,Female,ISF
98,0.16205128205128205,0.6962993773612765,0.19149380387047793,Young,Female,ISF
99,0.020454545454545454,0.24377804031954892,0.6927144368247038,Young,Male,ISF
100,0.07027417027417025,0.28122090859522814,0.7187790914047718,Young,Male,CTR
