ID,PRE_POST,Mean,Variance,MESOR,Amplitude,Phase,Period,F,p,IS,IV,RA,source,sensor_flag,pct_zero,longest_zero_run_hours
1,PRE,-0.2597203175212772,0.22297891518512922,-0.25691042305880596,0.28562145817742673,339.99578667135205,24.0,18.936651080630465,3.8707681256257555e-08,0.3866685389830754,1.1990828383153807,0.0,#01 IR.csv,False,0.0,0.0
1,POST,0.07087071264625547,0.3388327682290593,0.07053029436311146,0.3228069753382533,341.0706293111102,24.0,56.45202863079042,2.9978832541766505e-23,0.24448505212860683,1.2969361049103374,18.016244417227433,#01 IR.csv,False,0.0,0.0
2,PRE,0.05126615505791457,0.5452326905060954,0.05428771986482139,0.41411921860494755,358.77797645331674,24.0,15.643964134940038,5.923608636844929e-07,0.5330269425688525,1.1782460063808333,0.0,#02 IR.csv,False,0.0,0.0
2,POST,-0.013989159486108281,0.4238176474992884,-0.014416852798716557,0.378515563454632,344.74411838274705,24.0,63.17999444256818,1.0652103586625052e-25,0.42251735065972595,1.3368960778796417,0.0,#02 IR.csv,False,0.0,0.0
3,PRE,-0.3162487317421381,0.8649591305865657,-0.3150964389611088,0.19501969676522818,296.91722244567495,24.0,1.8883130235621748,0.15456306452238452,0.14473662966987103,0.815315172159109,0.0,#03 IR.csv,True,37.87,64.0
3,POST,0.09327405875117172,0.20988739857180067,0.09409757839050513,0.17401851361231757,172.65211143045184,24.0,22.11792186822336,5.608082283482084e-10,0.17994452159870447,1.398576205118214,2.4087947469480864,#03 IR.csv,True,1.05,6.0
4,PRE,0.07101544654745441,0.27727063425651327,0.0722409918014261,0.3747262461176511,325.30885564142875,24.0,29.119686724323525,1.2341431869292526e-11,0.4789874656677009,1.1342358500934944,0.0,#04 IR.csv,False,0.0,0.0
4,POST,-0.01980097555446387,0.26969625895759214,-0.021785378657894,0.2987923237740784,347.8202680602774,24.0,62.608078127760294,1.5720454388957385e-25,0.24778891812331258,0.8109993650537323,0.0,#04 IR.csv,False,0.0,0.0
5,PRE,-0.15968092080595295,0.36099491318565385,-0.15968092080595297,0.3119570177338321,347.43422587486816,24.0,12.941634172639596,6.0127997922860036e-06,0.468544835495971,1.4421211173120743,0.0,#05 IR.csv,False,0.0,0.0
5,POST,0.042991017140064244,0.36545506731764155,0.04299101714006424,0.4425585405174739,339.14614697194,24.0,113.90919983128036,7.210262545187581e-43,0.4338265093044736,1.145513652609079,0.0,#05 IR.csv,False,0.0,0.0
6,PRE,-0.1377678144474224,0.30090173335450554,-0.14430600055980397,0.3334250436627872,353.8431304095296,24.0,19.507994086323333,2.2914107564866837e-08,0.46378903129227894,1.6014037979070117,0.0,#06 IR.csv,False,0.0,0.0
6,POST,0.038282507067895814,0.3226075086589891,0.035352764459010005,0.40384482918251724,344.0724699200112,24.0,106.8372576807125,1.0933517045011034e-40,0.3477404572874226,0.9440312635843093,32.538885093989364,#06 IR.csv,False,0.0,0.0
7,PRE,-0.14834716894617753,0.7919267997518356,-0.14684396758800985,0.052402203101268315,272.95334256038575,24.0,0.1512946249440048,0.8597080135445202,0.06772477251421424,1.208390771563004,0.0,#07 IR.csv,False,0.0,0.0
