model,n_full,beta_full,p_full,n_clean,beta_clean,p_clean,same_direction,both_ns,conclusion_changed
Circadian LME: IS,94,0.00157394454235718,0.957551832613853,50,0.03909951461305191,0.34511436085640834,True,True,False
Circadian LME: IV,94,0.07871447701092263,0.19610663040787035,50,0.061952333824270935,0.46473116979528784,True,True,False
Circadian LME: RA,94,-0.01697943273784115,0.612134186672814,50,-0.016325052600591892,0.7296998760750861,True,True,False
Circadian LME: Amplitude,94,0.1677140895357612,0.4631481579318881,50,0.22630270446438597,0.39771462943041946,True,True,False
Barnes T6: p_correct (Binomial GLM),86,1.000000082690371e-10,1.0,48,inf,0.4791666666666667,True,True,False
NOR: DI (robust OLS),76,-0.05164536398269255,0.39432716549793934,48,-0.0436164568859535,0.6124811179976719,True,True,False
Mediation: Light->dIS->Barnes,86,-0.02837717049698802,,48,-0.1043230430817584,,True,False,False
Mediation: Light->dIS->NOR,76,0.001680760820304116,,48,5.920856363419086e-05,,True,False,False
