Metric,Light,var_ratio,ci_lo,ci_hi,includes_1,pct_POST_less
IS,CTR,1.3199715961730052,0.7097131012396959,2.6242579616694894,True,18.7
IS,ISF,0.6588773919172745,0.32640080924290854,1.402586756305239,True,86.14
IV,CTR,0.9177442304180645,0.3755018360719017,2.387261626125455,True,58.06
IV,ISF,1.0943956936174595,0.5978527617709428,2.071850272187966,True,36.14
RA,CTR,0.8607253299374694,0.48390890987122326,1.5065780556404849,True,71.26
RA,ISF,0.8322879564354405,0.4322519261978596,1.7075909923105832,True,70.98
Amplitude,CTR,1.1727796886959692,0.6685384523516246,1.9773619409877283,True,29.020000000000003
Amplitude,ISF,0.9765053858639178,0.4960819772092917,1.987418385200819,True,53.28000000000001
